"article_date","title"
2019-04-12,1665
2019-04-13,969
2019-04-14,421
2019-04-15,1833
2019-04-16,2057
2019-04-17,1947
2019-04-18,1541
2019-04-19,1246
2019-04-20,569
2019-04-21,322
2019-04-22,1260
2019-04-23,1849
2019-04-24,2261
2019-04-25,2235
2019-04-26,1784
2019-04-27,724
2019-04-28,461
2019-04-29,2021
2019-04-30,2218
2019-05-01,1416
2019-05-02,2082
2019-05-03,1749
2019-05-04,730
2019-05-05,293
2019-05-06,1670
2019-05-07,2096
2019-05-08,2063
2019-05-09,2154
2019-05-10,1981
2019-05-11,1048
2019-05-12,313
2019-05-13,1421
2019-05-14,2179
2019-05-15,2094
2019-05-16,2145
2019-05-17,1926
2019-05-18,907
2019-05-19,233
2019-05-20,1769
2019-05-21,2105
2019-05-22,2297
2019-05-23,2155
2019-05-24,1975
2019-05-25,801
2019-05-26,320
2019-05-27,1476
2019-05-28,2140
2019-05-29,2286
2019-05-30,1855
2019-05-31,2256
2019-06-01,867
2019-06-02,485
2019-06-03,1668
2019-06-04,2019
2019-06-05,1662
2019-06-06,2071
2019-06-07,1681
2019-06-08,863
2019-06-09,301
2019-06-10,1723
2019-06-11,2052
2019-06-12,1929
2019-06-13,2171
2019-06-14,1941
2019-06-15,829
2019-06-16,186
2019-06-17,1941
2019-06-18,2063
2019-06-19,2072
2019-06-20,2332
2019-06-21,1962
2019-06-22,962
2019-06-23,286
2019-06-24,1912
2019-06-25,1924
2019-06-26,2135
2019-06-27,2290
2019-06-28,2111
2019-06-29,884
2019-06-30,566
2019-07-01,1701
2019-07-02,2282
2019-07-03,2028
2019-07-04,1836
2019-07-05,1784
2019-07-06,617
2019-07-07,301
2019-07-08,1779
2019-07-09,2120
2019-07-10,2179
2019-07-11,1892
2019-07-12,1765
2019-07-13,779
2019-07-14,200
2019-07-15,1842
2019-07-16,2021
2019-07-17,2148
2019-07-18,1953
2019-07-19,1899
2019-07-20,688
2019-07-21,334
2019-07-22,1907
2019-07-23,2035
2019-07-24,2050
2019-07-25,2107
2019-07-26,1863
2019-07-27,840
2019-07-28,289
2019-07-29,2010
2019-07-30,1912
2019-07-31,2091
2019-08-01,2253
2019-08-02,1837
2019-08-03,591
2019-08-04,227
2019-08-05,1903
2019-08-06,1992
2019-08-07,2081
2019-08-08,2009
2019-08-09,1781
2019-08-10,715
2019-08-11,293
2019-08-12,1670
2019-08-13,2059
2019-08-14,2124
2019-08-15,1178
2019-08-16,1643
2019-08-17,790
2019-08-18,333
2019-08-19,1959
2019-08-20,1947
2019-08-21,1786
2019-08-22,2363
2019-08-23,1827
2019-08-24,726
2019-08-25,317
2019-08-26,1573
2019-08-27,2048
2019-08-28,2281
2019-08-29,2048
2019-08-30,1904
2019-08-31,935
2019-09-01,450
